edge_id,point_id_left,point_id_right,kBT_left,J_A_left,kBT_right,J_A_right,z2_left,z2_right,topology_left,topology_right,z2_change_candidate,p0_sign_change_candidate,ppi_sign_change_candidate,edge_length_norm,bulk_gap_min,pfaffian_margin_min,mid_kBT,mid_J_A
114,66,448,0.0303333333333333,0.424,0.0583333333333333,0.41075,0,0,trivial,trivial,False,False,False,0.05108751020710568,0.19205948001572337,0.21007703662203764,0.0443333333333333,0.417375
115,66,541,0.0303333333333333,0.424,0.028,0.483625,0,0,trivial,trivial,False,False,False,0.0372746057384189,0.14774983004265752,0.16442806949800626,0.02916666666666665,0.4538125
116,66,589,0.0303333333333333,0.424,0.028,0.430625,0,0,trivial,trivial,False,False,False,0.005881259072694188,0.1868611967710332,0.20498170462142748,0.02916666666666665,0.4273125
117,66,606,0.0303333333333333,0.424,0.0256666666666666,0.377625,0,0,trivial,trivial,False,False,False,0.030007262196007783,0.19205948001572337,0.21007703662203764,0.02799999999999995,0.4008125
118,66,717,0.0303333333333333,0.424,0.021,0.41075,0,0,trivial,trivial,False,False,False,0.01871379915413246,0.19205948001572337,0.21007703662203764,0.02566666666666665,0.417375
119,68,1656,0.406,0.033125,0.4036666666666667,0.033125,0,0,trivial,trivial,False,False,False,0.004201680672269004,0.4809130790334441,0.44109380278257787,0.4048333333333334,0.033125
120,68,2098,0.406,0.033125,0.406,0.046375,0,0,trivial,trivial,False,False,False,0.008230452674897115,0.4765080528414176,0.4397440636372515,0.406,0.03975
121,68,4045,0.406,0.033125,0.4083333333333334,0.03975,0,0,trivial,trivial,False,False,False,0.005881259072694234,0.47666367835753537,0.43839692449159323,0.4071666666666667,0.0364375
122,68,4424,0.406,0.033125,0.4083333333333334,0.033125,0,0,trivial,trivial,False,False,False,0.004201680672268893,0.4788119332285589,0.4390386284450031,0.4071666666666667,0.033125
123,68,5968,0.406,0.033125,0.406,0.0265,0,0,trivial,trivial,False,False,False,0.00411522633744856,0.4809130790334441,0.44109380278257787,0.406,0.0298125
124,71,393,0.1656666666666666,0.165625,0.1633333333333333,0.19875,0,0,trivial,trivial,False,False,False,0.02100074559825138,0.40081090307087086,0.39587971920772397,0.16449999999999995,0.1821875
125,71,459,0.1656666666666666,0.165625,0.1516666666666666,0.19875,0,0,trivial,trivial,False,False,False,0.03254113600033978,0.3929226193996128,0.38811554641251783,0.1586666666666666,0.1821875
126,71,2328,0.1656666666666666,0.165625,0.1633333333333333,0.1325,0,0,trivial,trivial,False,False,False,0.02100074559825137,0.4183323540134491,0.40735538788143594,0.16449999999999995,0.1490625
127,71,2338,0.1656666666666666,0.165625,0.154,0.14575,0,0,trivial,trivial,False,False,False,0.024367371669279794,0.4183323540134491,0.4043532986631397,0.1598333333333333,0.15568749999999998
128,71,2347,0.1656666666666666,0.165625,0.1726666666666667,0.159,0,0,trivial,trivial,False,False,False,0.013259795324736262,0.4183323540134491,0.40735538788143594,0.16916666666666663,0.1623125
129,71,2367,0.1656666666666666,0.165625,0.175,0.205375,0,0,trivial,trivial,False,False,False,0.029868530071816113,0.40482066469281697,0.40101152307398474,0.17033333333333328,0.1855
130,75,588,0.196,0.5830000000000001,0.1796666666666666,0.6095,0,0,trivial,trivial,False,False,False,0.03370479651398414,0.030402919808599833,0.03906295217905281,0.1878333333333333,0.5962500000000001
131,75,697,0.196,0.5830000000000001,0.1913333333333333,0.602875,0,0,trivial,trivial,False,False,False,0.014934265035908072,0.04328335280393381,0.0536256589772727,0.19366666666666665,0.5929375000000001
132,75,2486,0.196,0.5830000000000001,0.168,0.54325,0,0,trivial,trivial,False,False,False,0.056141397462397526,0.0758103051836377,0.08973757658002582,0.182,0.5631250000000001
133,75,2511,0.196,0.5830000000000001,0.182,0.51675,0,0,trivial,trivial,False,False,False,0.04826030581984412,0.0758103051836377,0.08973757658002582,0.189,0.5498750000000001
134,75,3635,0.196,0.5830000000000001,0.2053333333333333,0.549875,0,0,trivial,trivial,False,False,False,0.02656770827072304,0.0758103051836377,0.08973757658002582,0.20066666666666666,0.5664375
135,75,5019,0.196,0.5830000000000001,0.2006666666666667,0.5830000000000001,0,0,trivial,trivial,False,False,False,0.00840336134453784,0.0758103051836377,0.08973757658002582,0.19833333333333336,0.5830000000000001
