point_id,kBT,J_A,Delta_opt,q_opt,thermo_phase_code,thermo_phase,trusted_exact,training_eligible_exact,rerun_required,q_unresolved,delta_unresolved,pilot_source
3883,0.0186666666666666,1.5966250000000002,0.033533458019004106,-1.5006382978723294,2,FFLO,1,1,0,0,0,dataset_iter035
1325,0.42,0.178875,0.4557893481617232,-0.1262050307244959,2,FFLO,1,1,0,0,0,dataset_iter035
6808,0.2356666666666667,0.6426250000000001,0.23273212245973865,-0.43687871117091864,2,FFLO,1,1,0,0,0,dataset_iter035
7297,0.1796666666666666,0.6890000000000001,0.10350898113397014,-0.37139196552081083,2,FFLO,1,1,0,0,0,dataset_iter035
5264,0.1166666666666666,0.457125,0.4131832502792875,-0.32988839432749584,2,FFLO,1,1,0,0,0,dataset_iter035
5513,0.0326666666666666,1.331625,0.06561449533683959,-1.02687899347869,2,FFLO,1,1,0,0,0,dataset_iter035
2120,0.434,0.139125,0.44786988338960926,-0.0977068139685886,2,FFLO,1,1,0,0,0,dataset_iter035
422,0.175,0.086125,0.4826566834448391,-0.06018792287351671,2,FFLO,1,1,0,0,0,dataset_iter035
2861,0.0723333333333333,0.019875,0.4053639524520818,-0.013873639041282915,2,FFLO,1,1,0,0,0,dataset_iter035
4890,0.455,0.46375,0.15764431947983482,-0.3477842604006888,2,FFLO,1,1,0,0,0,dataset_iter035
4624,0.2426666666666667,0.54325,0.3861155811063552,-0.39139045987936044,2,FFLO,1,1,0,0,0,dataset_iter035
306,0.182,0.5035000000000001,0.4176945284747762,-0.35748077954586094,2,FFLO,1,1,0,0,0,dataset_iter035
6214,0.0233333333333333,1.3515,0.06240538742515721,-1.0637971336350875,2,FFLO,1,1,0,0,0,dataset_iter035
3557,0.28,0.0265,0.5299743934125798,-0.018459070078199278,2,FFLO,1,1,0,0,0,dataset_iter035
7335,0.0093333333333333,1.378,0.04897297500847276,-1.1131198772902193,2,FFLO,1,1,0,0,0,dataset_iter035
3346,0.042,1.3978750000000002,0.044361529868075865,-1.1480808717663964,2,FFLO,1,1,0,0,0,dataset_iter035
4848,0.4876666666666667,0.125875,0.35844565503910025,-0.08838576416008732,2,FFLO,1,1,0,0,0,dataset_iter035
7184,0.4503333333333333,0.477,0.1477190053598102,-0.35890756302521015,2,FFLO,1,1,0,0,0,dataset_iter035
1124,0.2823333333333334,0.14575,0.5238591888736868,-0.10229224500550507,2,FFLO,1,1,0,0,0,dataset_iter035
6012,0.2146666666666666,0.6757500000000001,0.12335835414914581,-0.41673002907770057,2,FFLO,1,1,0,0,0,dataset_iter035
4301,0.3103333333333333,0.033125,0.5309773180865351,-0.02311959498244992,2,FFLO,1,1,0,0,0,dataset_iter035
5340,0.2753333333333334,0.0265,0.5292732247982226,-0.018459070078199278,2,FFLO,1,1,0,0,0,dataset_iter035
924,0.0046666666666666,0.934125,0.08436077673315175,-0.45920982054635967,2,FFLO,1,1,0,0,0,dataset_iter035
6039,0.5063333333333334,0.22525,0.2624053874251572,-0.1601147110579955,2,FFLO,1,1,0,0,0,dataset_iter035
5912,0.0746666666666666,1.132875,0.05167873774586717,-0.6928932782519502,2,FFLO,1,1,0,0,0,dataset_iter035
2701,0.0023333333333333,0.059625,0.39724289856527795,-0.04131583652497961,2,FFLO,1,1,0,0,0,dataset_iter035
1405,0.0606666666666666,1.219,0.060000125522487346,-0.8274806854432704,2,FFLO,1,1,0,0,0,dataset_iter035
6872,0.0116666666666666,1.3978750000000002,0.049774310567738206,-1.1498127358446144,2,FFLO,1,1,0,0,0,dataset_iter035
3149,0.4433333333333333,0.4902500000000001,0.14842142919904097,-0.3700355707792636,2,FFLO,1,1,0,0,0,dataset_iter035
3850,0.511,0.125875,0.2956896833067644,-0.08838576416008732,2,FFLO,1,1,0,0,0,dataset_iter035
2965,0.0,0.934125,0.08426060978824357,-0.4572573799956713,2,FFLO,1,1,0,0,0,dataset_iter035
7424,0.4573333333333333,0.046375,0.4279203434295254,-0.032370256053149166,2,FFLO,1,1,0,0,0,dataset_iter035
4706,0.3756666666666667,0.0265,0.5111279450713595,-0.018459070078199278,2,FFLO,1,1,0,0,0,dataset_iter035
4408,0.518,0.099375,0.2805519223768938,-0.0695887716788844,2,FFLO,1,1,0,0,0,dataset_iter035
6860,0.0093333333333333,1.60325,0.03152886389596696,-1.5116912117590484,2,FFLO,1,1,0,0,0,dataset_iter035
2621,0.1283333333333333,0.053,0.44656645788092936,-0.03703078095739981,2,FFLO,1,1,0,0,0,dataset_iter035
2194,0.4736666666666667,0.2915,0.31563922326684823,-0.20958764244779657,2,FFLO,1,1,0,0,0,dataset_iter035
5480,0.1213333333333333,0.629375,0.24516286542734128,-0.33575042110909314,2,FFLO,1,1,0,0,0,dataset_iter035
7026,0.4853333333333334,0.053,0.3764907678210551,-0.03703078095739981,2,FFLO,1,1,0,0,0,dataset_iter035
3849,0.378,0.0265,0.5098245195626796,-0.018459070078199278,2,FFLO,1,1,0,0,0,dataset_iter035
5081,0.4783333333333334,0.019875,0.39293195425960564,-0.013873639041282915,2,FFLO,1,1,0,0,0,dataset_iter035
852,0.0,1.3713750000000002,0.045864034041698566,-1.1011658369954902,2,FFLO,1,1,0,0,0,dataset_iter035
480,0.0093333333333333,0.298125,0.3830078953644545,-0.2131217593420347,2,FFLO,1,1,0,0,0,dataset_iter035
523,0.0,0.7552500000000001,0.10731783549022808,-0.3231956298756905,2,FFLO,1,1,0,0,0,dataset_iter035
1684,0.0,0.94075,0.08375977506370266,-0.4713140485757573,2,FFLO,1,1,0,0,0,dataset_iter035
1308,0.0,0.457125,0.3566413948058795,-0.3343987314970781,2,FFLO,1,1,0,0,0,dataset_iter035
1531,0.0,0.019875,0.39774498851469237,-0.016797594737783212,2,FFLO,1,1,0,0,0,dataset_iter035
1273,0.0,0.424,0.36395985790854435,-0.30718181561538394,2,FFLO,1,1,0,0,0,dataset_iter035
1503,0.0,1.464125,0.03724340065522738,-1.266579370830073,2,FFLO,1,1,0,0,0,dataset_iter035
1002,0.0,0.7618750000000001,0.1060144099815482,-0.32417185015103467,2,FFLO,1,1,0,0,0,dataset_iter035
1457,0.0,1.166,0.06441123677306788,-0.7509363207769111,2,FFLO,1,1,0,0,0,dataset_iter035
930,0.0,0.0795,0.39684223078564523,-0.05732965078528619,2,FFLO,1,1,0,0,0,dataset_iter035
797,0.0,0.106,0.39603964000150627,-0.07860003575898453,2,FFLO,1,1,0,0,0,dataset_iter035
1146,0.0,0.43725,0.3612528399462764,-0.3174790856992294,2,FFLO,1,1,0,0,0,dataset_iter035
960,0.0,0.99375,0.07894674080861586,-0.5273295566826955,2,FFLO,1,1,0,0,0,dataset_iter035
834,0.0,0.960625,0.08195425960560834,-0.4919179990025126,2,FFLO,1,1,0,0,0,dataset_iter035
833,0.0,0.046375,0.39744323245509433,-0.02725916794489352,2,FFLO,1,1,0,0,0,dataset_iter035
677,0.0,1.23225,0.05869670001380747,-0.8520693159682686,2,FFLO,1,1,0,0,0,dataset_iter035
1700,0.0,0.8347500000000001,0.09528776030225813,-0.37808472997261616,2,FFLO,1,1,0,0,0,dataset_iter035
1971,0.0,0.8943750000000001,0.08827105325919138,-0.42078980304327773,2,FFLO,1,1,0,0,0,dataset_iter035
1182,0.0,0.6691250000000001,0.12827030012426727,-0.27890888046147916,2,FFLO,1,1,0,0,0,dataset_iter035
1825,0.0,1.0533750000000002,0.07383446094367806,-0.5820684690449529,2,FFLO,1,1,0,0,0,dataset_iter035
1109,0.0,1.106375,0.06942334969309752,-0.6659767378395927,2,FFLO,1,1,0,0,0,dataset_iter035
1615,0.0,0.920875,0.0856642022418316,-0.45139064808454177,2,FFLO,1,1,0,0,0,dataset_iter035
6051,0.5553333333333333,0.059625,0.06661616478592139,-0.04169130586165045,2,FFLO,1,1,0,0,0,dataset_iter035
2508,0.5553333333333333,0.0,0.08616503696637251,-3.754693366708403e-05,1,uniform_SC,1,1,0,0,0,dataset_iter035
2847,0.553,0.019875,0.11162877979590043,-0.013873639041282915,2,FFLO,1,1,0,0,0,dataset_iter035
2791,0.553,0.09275,0.07463705172781704,-0.06492354164510152,2,FFLO,1,1,0,0,0,dataset_iter035
2606,0.5506666666666667,0.0,0.13448567160806857,3.754693366708403e-05,1,uniform_SC,1,1,0,0,0,dataset_iter035
7063,0.553,0.059625,0.09909786988338962,-0.04169130586165045,2,FFLO,1,1,0,0,0,dataset_iter035
1448,0.5553333333333333,0.019875,0.08426060978824357,-0.013873639041282915,2,FFLO,1,1,0,0,0,dataset_iter035
4091,0.553,0.086125,0.08105275710143471,-0.06026301674085087,2,FFLO,1,1,0,0,0,dataset_iter035
231,0.5506666666666667,0.072875,0.11694264877552812,-0.050941966932349696,2,FFLO,1,1,0,0,0,dataset_iter035
1826,0.5506666666666667,0.006625,0.13438550466316038,-0.004622977970583555,1,uniform_SC,1,1,0,0,0,dataset_iter035
3109,0.5506666666666667,0.019875,0.1332836682691704,-0.013873639041282915,2,FFLO,1,1,0,0,0,dataset_iter035
3259,0.553,0.0795,0.08656695997087877,-0.05560249183660034,2,FFLO,1,1,0,0,0,dataset_iter035
5583,0.553,0.03975,0.10711750160041171,-0.027780119886700563,2,FFLO,1,1,0,0,0,dataset_iter035
5860,0.553,0.06625,0.0954880941920745,-0.04635183076590109,2,FFLO,1,1,0,0,0,dataset_iter035
729,0.553,0.0,0.11313253919439667,3.754693366708403e-05,1,uniform_SC,1,1,0,0,0,dataset_iter035
2146,0.5553333333333333,0.0265,0.08265668344483913,-0.018534163945533446,2,FFLO,1,1,0,0,0,dataset_iter035
2785,0.5553333333333333,0.046375,0.07493755256254157,-0.032370256053149166,2,FFLO,1,1,0,0,0,dataset_iter035
7059,0.553,0.106,0.05789410922966849,-0.07432439045046921,2,FFLO,1,1,0,0,0,dataset_iter035
5013,0.5553333333333333,0.072875,0.0543857557081351,-0.050941966932349696,2,FFLO,1,1,0,0,0,dataset_iter035
4933,0.553,0.053,0.10220555562529025,-0.03703078095739981,2,FFLO,1,1,0,0,0,dataset_iter035
3654,0.5506666666666667,0.01325,0.13398483688352766,-0.009283502874834197,1,uniform_SC,1,1,0,0,0,dataset_iter035
7155,0.553,0.072875,0.09127857205618387,-0.050941966932349696,2,FFLO,1,1,0,0,0,dataset_iter035
904,0.5553333333333333,0.01325,0.08536370140710707,-0.009283502874834197,1,uniform_SC,1,1,0,0,0,dataset_iter035
847,0.014,1.6297500000000005,0.031128196116334234,-1.553945721625704,2,FFLO,1,1,0,0,0,dataset_iter035
1936,0.014,1.5833750000000002,0.035539307366914775,-1.4789830333028962,2,FFLO,1,1,0,0,0,dataset_iter035
3001,0.0163333333333333,1.5966250000000002,0.03433604880314308,-1.5007133917396636,2,FFLO,1,1,0,0,0,dataset_iter035
1093,0.021,1.5833750000000002,0.03383395885372865,-1.4787577517008936,2,FFLO,1,1,0,0,0,dataset_iter035
4392,0.014,1.57675,0.03614030903636386,-1.4679301194161771,2,FFLO,1,1,0,0,0,dataset_iter035
3180,0.014,1.6098750000000002,0.0330326232944632,-1.5222935624417624,2,FFLO,1,1,0,0,0,dataset_iter035
6024,0.0116666666666666,1.59,0.03403554796841854,-1.489960853322281,2,FFLO,1,1,0,0,0,dataset_iter035
6875,0.0186666666666666,1.5701250000000002,0.03684147765072112,-1.4567270177947897,2,FFLO,1,1,0,0,0,dataset_iter035
2700,0.021,1.59,0.032832289404646844,-1.4896604778529445,2,FFLO,1,1,0,0,0,dataset_iter035
626,0.0093333333333333,1.6098750000000002,0.031128196116334234,-1.5223686563090966,2,FFLO,1,1,0,0,0,dataset_iter035
4579,0.014,1.5701250000000002,0.03684147765072112,-1.4568819106589903,2,FFLO,1,1,0,0,0,dataset_iter035
3402,0.0163333333333333,1.59,0.03503721741750034,-1.4898106655876129,2,FFLO,1,1,0,0,0,dataset_iter035
4023,0.0116666666666666,1.6165000000000005,0.03192953167559968,-1.5329710069918105,2,FFLO,1,1,0,0,0,dataset_iter035
5752,0.0163333333333333,1.57675,0.0364408098710884,-1.4679301194161771,2,FFLO,1,1,0,0,0,dataset_iter035
2603,0.0163333333333333,1.6165000000000005,0.03212986556541604,-1.5328208192571422,2,FFLO,1,1,0,0,0,dataset_iter035
